Brand,Brand_Style,ABV,Calories,Fat_grams,Calories_from_fat,Saturated_fat_grams,Trans_fat_grams,Cholesterol_mg,Sodium_mg,Carbs_mg,Fiber_grams,Sugars_grams,Protein_grams,Ingredients
Leinenkugel's Harvest Patch Shandy,Shandy,4.2,144,0,0,0,0,0,10,14.6,0,4,1.2,"Water, Barley Malt, Wheat, Yeast, Corn Syrup (Maltose), Hops, Sucrose, Honey, Natural Flavors, Citric Acid"
Leinenkugel's Honey Weiss,American Wheat,4.9,149,0,0,0,0,0,10,12.2,0,0,1.4,"Water, Barley Malt, Wheat, Corn Syrup (Maltose), Yeast, Hops, Honey"
Leinenkugel's Light,American-Style Light Lager,4.2,111,0,0,0,0,0,15,6.3,0,2,1.1,"Water, Barley Malt,Corn Syrup (Dextrose), Wheat, Yeast, Hops"
Leinenkugel's Northwoods Lager,American Lager,4.9,162,0,0,0,0,0,10,15.4,0,0,1.5,"Water, Barley Malt, Corn, Corn Syrup (Maltose), Hops, Yeast"
Leinenkugel's Oktoberfest,Oktoberfest Lager,5.1,175,0,0,0,0,0,15,17.8,0,0,1.3,"Water, Barley Malt, Corn, Corn Syrup (Maltose), Oats, Yeast, Hops"
Leinenkugel's Orange Shandy,Shandy,4.2,137,0,0,0,0,0,10,12.7,0,2,1.2,"Water, Barley Malt, Wheat, Corn Syrup (Maltose), Yeast, Sucrose, Hops, Caramel Color, Honey, Citric Acid, Natural Flavor"
Leinenkugel's Original,American Lager,4.7,154,0,0,0,0,0,15,14.9,0,0,1.1,"Water, Barley Malt, Corn,Corn Syrup (Maltose), Yeast, Hops"
Leinenkugel's Pomegranate Shandy,Shandy,4.2,160,0,0,0,0,0,10,18.4,0,8,1.5,"Water, Barley Malt, Wheat, Corn Syrup (Maltose), Yeast, Sucrose, Hops, Honey, Citric Acid, Natural Flavors"
Leinenkugel's Red Lager,Vienna-Style Amber Lager,5,169,0,0,0,0,0,15,16.6,0,0,1.4,"Water, Barley Malt, Corn, Corn Syrup (Maltose), Yeast, Hops"
Leinenkugel'sSnowdrift Vanilla Porter,Porter,6,211,0,0,0,0,0,15,21.9,0,0,1.9,"Water, Barley Malt,  Corn Syrup (Maltose), Barley, Yeast, Hops, Vanilla"
Leinenkugel's Special Ale,American Pale Ale,5.3,169,0,0,0,0,0,10,15.1,0,0,1.7,"Water, Barley Malt, Corn Syrup (Maltose), Hops, Yeast"
Leine Spritzen Grapefruit,Beer with a splash of seltzer,4.2,93,0,0,0,0,0,0,2.2,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract, Natural Flavor"
Leine Spritzen Raspberry Lemon,Beer with a splash of seltzer,4.2,93,0,0,0,0,0,0,2.2,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract, Natural Flavor"
Leine Spritzen Pineapple Strawberry,Beer with a splash of seltzer,4.2,93,0,0,0,0,0,0,2.2,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract, Natural Flavor"
Leinenkugel's Summer Shandy,Shandy,4.2,136,0,0,0,0,0,10,12.5,0,2,1.3,"Water, Barley Malt, Wheat,Corn Syrup (Maltose), Yeast, Sucrose, Hops, Honey, Citric Acid, Natural Flavor"
Leinenkugel's Sunset Wheat,Spice Wheat,4.9,165,0,0,0,0,0,10,16.1,0,2,1.5,"Water, Barley Malt, Wheat,Corn Syrup (Maltose), Yeast, Hops, Honey, Natural Flavors"
Leinenkugel's Wisconsin Red Pale Ale,Red Pale Ale,5.6,179,0,0,0,0,0,10,16.1,0,0,1.8,"Water, Barley Malt, Barley, Oats, Hops, Yeast"
